username,followers,following,posts,likes,account_age_days,bio_length,username_length,profile_picture,verified,follower_following_ratio,comment,word_count,emoji_count,hashtag_count,url_present,spam_keyword_count,uppercase_count,duplicate_comment,mentions_count,promotional_keyword_count,post_frequency,login_frequency,message_frequency,activity_score,spam
user_026,86,3204,9,3345,16,79,8,1,0,0.0268,click link,2,3,4,1,1,4,1,1,4,12,14,86,49,1
user_027,23,2965,6,4751,39,110,8,0,0,0.0078,investment,1,5,5,1,1,3,1,3,4,28,7,66,61,1
user_028,95,1890,10,1924,66,23,8,0,0,0.0503,earn money,2,2,3,1,1,1,1,1,6,1,2,32,61,1
user_029,99,1096,7,3273,74,126,8,1,0,0.0903,free offer,2,1,10,1,1,5,1,0,3,48,4,100,55,1
user_030,90,4743,7,3806,32,34,8,1,0,0.019,earn money,2,4,8,1,1,4,1,2,2,48,15,79,93,1
user_031,55,4988,7,2271,61,63,8,1,0,0.011,giveaway,1,4,7,1,1,5,1,1,5,17,15,10,92,1
user_032,35,3251,5,1251,18,98,8,0,0,0.0108,investment,1,1,1,1,1,3,1,3,3,21,18,60,54,1
user_033,54,3690,9,2881,74,1,8,0,0,0.0146,crypto,1,3,6,1,1,4,1,5,5,47,18,78,29,1
user_034,35,4070,7,1045,44,119,8,0,0,0.0086,earn money,2,4,0,1,1,3,1,4,5,36,1,11,83,1
user_035,60,1988,0,2764,42,83,8,0,0,0.0302,click link,2,3,4,1,1,3,1,2,3,5,16,3,96,1
user_036,45,2336,10,166,6,51,8,1,0,0.0193,earn money,2,1,3,1,1,1,1,3,2,42,4,73,28,1
user_037,33,3521,2,4740,15,27,8,1,0,0.0094,investment,1,2,9,1,1,5,1,3,3,25,7,10,76,1
user_038,81,2489,1,336,88,144,8,0,0,0.0325,crypto,1,4,6,1,1,5,1,2,6,4,17,83,44,1
user_039,54,4515,1,1442,82,111,8,0,0,0.012,free offer,2,4,10,1,1,2,1,4,5,34,16,60,56,1
user_040,76,2698,5,3806,12,62,8,0,0,0.0282,dm now,2,4,10,1,1,3,1,2,4,1,16,42,24,1
user_041,46,2616,5,4232,90,2,8,1,0,0.0176,click link,2,1,1,1,1,1,1,5,4,26,16,72,98,1
user_042,61,4520,7,1993,12,103,8,0,0,0.0135,dm now,2,5,9,1,1,2,1,3,4,35,17,45,55,1
user_043,71,3209,5,988,35,59,8,0,0,0.0221,crypto,1,1,5,1,1,0,1,5,4,34,6,25,28,1
user_044,36,4797,9,1469,25,92,8,0,0,0.0075,click link,2,0,8,1,1,1,1,2,4,2,2,71,38,1
user_045,17,4521,1,3608,74,122,8,0,0,0.0038,dm now,2,1,0,1,1,2,1,3,4,7,3,52,63,1
user_046,81,939,2,4571,39,30,8,1,0,0.0863,giveaway,1,3,9,1,1,4,1,4,2,14,17,49,58,1
user_047,39,4012,4,1728,8,53,8,1,0,0.0097,investment,1,5,1,1,1,1,1,1,6,11,18,10,21,1
user_048,58,4349,4,1912,37,18,8,0,0,0.0133,earn money,2,2,10,1,1,4,1,5,4,12,14,15,70,1
user_049,20,2676,2,2364,22,145,8,0,0,0.0075,earn money,2,0,7,1,1,5,1,2,4,44,13,35,65,1
user_050,57,1158,9,748,42,6,8,0,0,0.0492,earn money,2,5,9,1,1,4,1,0,6,48,9,74,6,1
user_051,23,4354,8,4028,36,111,8,0,0,0.0053,crypto,1,0,7,1,1,2,1,3,3,21,11,86,14,1
user_052,43,3872,7,721,52,116,8,1,0,0.0111,click link,2,2,5,1,1,0,1,3,6,32,1,85,70,1
user_053,7,2036,8,2187,64,52,8,1,0,0.0034,click link,2,1,4,1,1,3,1,5,5,31,4,4,81,1
user_054,31,1797,4,929,71,57,8,0,0,0.0173,investment,1,0,10,1,1,1,1,3,5,45,10,66,91,1
user_055,62,4368,3,1118,19,130,8,1,0,0.0142,free offer,2,0,4,1,1,3,1,2,5,50,17,35,1,1
user_056,39,4511,2,4451,62,141,8,1,0,0.0086,free offer,2,3,5,1,1,1,1,5,4,15,19,50,30,1
user_057,53,857,5,303,49,126,8,0,0,0.0618,crypto,1,4,9,1,1,2,1,0,5,28,4,68,59,1
user_058,19,3858,10,657,61,101,8,0,0,0.0049,giveaway,1,2,10,1,1,4,1,3,4,20,16,70,5,1
user_059,31,2854,3,3634,56,25,8,0,0,0.0109,crypto,1,5,4,1,1,0,1,0,2,20,2,38,46,1
user_060,19,2500,8,646,88,44,8,1,0,0.0076,free offer,2,3,9,1,1,5,1,1,3,31,19,19,30,1
user_061,33,4264,4,605,60,40,8,0,0,0.0077,crypto,1,2,9,1,1,2,1,5,4,27,9,59,39,1
user_062,50,4458,1,2418,74,75,8,0,0,0.0112,giveaway,1,5,6,1,1,2,1,0,4,36,2,78,96,1
user_063,37,2385,9,1120,29,64,8,0,0,0.0155,dm now,2,0,10,1,1,5,1,0,3,19,15,5,75,1
user_064,17,1238,4,4418,54,33,8,1,0,0.0137,click link,2,2,8,1,1,4,1,2,3,10,9,62,38,1
user_065,44,1443,7,739,29,93,8,0,0,0.0305,earn money,2,3,0,1,1,2,1,4,5,7,15,48,87,1
user_066,34,3621,10,4599,87,6,8,0,0,0.0094,click link,2,4,3,1,1,5,1,0,3,40,15,90,39,1
user_067,15,1645,0,4403,64,60,8,0,0,0.0091,earn money,2,3,7,1,1,2,1,5,2,47,18,54,76,1
user_068,20,3898,10,3035,79,8,8,0,0,0.0051,earn money,2,3,7,1,1,1,1,2,5,6,12,70,83,1
user_069,51,2760,3,414,12,5,8,0,0,0.0185,earn money,2,2,3,1,1,1,1,4,3,13,3,98,71,1
user_070,28,2408,5,1064,77,37,8,0,0,0.0116,dm now,2,2,2,1,1,0,1,5,2,1,5,2,46,1
user_071,31,3152,0,931,7,134,8,0,0,0.0098,giveaway,1,0,7,1,1,3,1,2,3,32,19,14,58,1
user_072,79,855,10,3290,59,122,8,0,0,0.0924,investment,1,5,1,1,1,3,1,5,2,28,3,11,42,1
user_073,9,1533,4,4893,75,97,8,1,0,0.0059,investment,1,2,7,1,1,4,1,4,6,27,4,90,15,1
user_074,84,2261,6,3407,53,102,8,0,0,0.0372,free offer,2,0,5,1,1,3,1,2,4,42,9,48,20,1
user_075,61,1049,1,1065,12,95,8,0,0,0.0582,dm now,2,0,9,1,1,4,1,4,5,21,4,53,46,1
user_076,97,3964,0,4156,40,147,8,1,0,0.0245,click link,2,1,10,1,1,3,1,1,4,6,12,72,48,1
user_077,36,2352,6,4988,80,6,8,1,0,0.0153,dm now,2,5,4,1,1,0,1,1,6,17,10,44,45,1
user_078,19,3783,1,1762,82,135,8,1,0,0.005,giveaway,1,3,7,1,1,2,1,1,2,23,10,93,42,1
user_079,73,1195,0,3629,80,69,8,0,0,0.0611,giveaway,1,3,7,1,1,4,1,3,2,26,9,28,97,1
user_080,45,4021,1,2526,87,134,8,1,0,0.0112,click link,2,1,6,1,1,4,1,0,6,0,7,39,28,1
user_081,98,2593,4,1058,1,44,8,0,0,0.0378,click link,2,4,3,1,1,4,1,4,5,42,12,10,51,1
user_082,6,4073,0,3313,41,146,8,0,0,0.0015,free offer,2,5,6,1,1,2,1,0,6,25,1,42,22,1
user_083,80,4269,5,3280,14,150,8,0,0,0.0187,earn money,2,0,6,1,1,2,1,5,3,21,8,43,100,1
user_084,66,1434,8,842,45,60,8,0,0,0.046,investment,1,2,3,1,1,1,1,4,4,9,3,23,99,1
user_085,60,4177,10,1236,82,80,8,1,0,0.0144,investment,1,0,7,1,1,3,1,5,6,19,9,76,8,1
user_086,10,3042,7,739,8,19,8,0,0,0.0033,free offer,2,4,8,1,1,3,1,3,4,37,18,95,6,1
user_087,74,2042,5,847,65,115,8,0,0,0.0362,investment,1,2,1,1,1,4,1,5,3,11,2,32,91,1
user_088,57,4793,8,3348,47,99,8,0,0,0.0119,investment,1,2,10,1,1,4,1,0,4,50,11,9,43,1
user_089,87,3666,4,667,85,85,8,1,0,0.0237,click link,2,5,2,1,1,2,1,2,6,41,13,17,77,1
user_090,11,3036,8,3468,43,23,8,1,0,0.0036,free offer,2,2,0,1,1,2,1,2,3,11,7,44,99,1
user_091,29,1626,2,309,13,134,8,0,0,0.0178,earn money,2,2,9,1,1,1,1,4,6,24,5,21,24,1
user_092,99,1856,7,3677,47,72,8,0,0,0.0533,earn money,2,4,3,1,1,2,1,3,3,12,12,87,74,1
user_093,60,2808,6,2048,54,35,8,1,0,0.0214,investment,1,5,7,1,1,2,1,4,3,6,17,16,37,1
user_094,21,2734,7,2863,56,115,8,0,0,0.0077,investment,1,0,6,1,1,0,1,3,2,32,12,31,50,1
user_095,48,2339,0,313,84,35,8,0,0,0.0205,click link,2,3,2,1,1,5,1,3,4,28,20,1,11,1
user_096,28,1724,8,1946,68,73,8,1,0,0.0162,crypto,1,0,0,1,1,1,1,3,5,40,20,59,9,1
user_097,64,4891,0,3516,74,74,8,1,0,0.0131,crypto,1,4,5,1,1,1,1,4,3,26,6,86,86,1
user_098,47,1054,8,3851,65,99,8,1,0,0.0446,investment,1,5,6,1,1,2,1,2,6,47,1,46,9,1
user_099,94,1349,9,2773,18,139,8,0,0,0.0697,crypto,1,5,2,1,1,5,1,3,2,44,16,81,24,1
user_100,9,4249,0,2540,6,80,8,0,0,0.0021,click link,2,3,8,1,1,3,1,2,3,2,7,37,46,1
user_101,7,3219,4,2777,56,98,8,0,0,0.0022,earn money,2,1,7,1,1,5,1,3,5,23,17,35,11,1
user_102,11,4027,9,655,70,26,8,0,0,0.0027,dm now,2,5,4,1,1,2,1,3,4,38,14,22,89,1
user_103,58,846,5,2976,36,103,8,0,0,0.0686,investment,1,5,10,1,1,1,1,0,2,9,20,87,57,1
user_104,9,2433,10,3685,50,39,8,0,0,0.0037,click link,2,2,5,1,1,3,1,0,6,36,5,68,47,1
user_105,84,2783,3,4601,24,99,8,0,0,0.0302,earn money,2,2,4,1,1,5,1,3,5,13,20,37,89,1
user_106,63,2139,1,2618,58,22,8,0,0,0.0295,giveaway,1,2,1,1,1,4,1,4,3,18,10,21,92,1
user_107,90,1926,5,4047,16,60,8,0,0,0.0467,investment,1,2,8,1,1,4,1,2,3,29,18,17,79,1
user_108,9,3033,6,4709,62,104,8,1,0,0.003,crypto,1,1,5,1,1,5,1,0,6,28,15,88,67,1
user_109,100,1990,2,2491,8,39,8,1,0,0.0503,free offer,2,1,5,1,1,5,1,1,2,22,17,37,11,1
user_110,82,2748,2,1381,79,128,8,0,0,0.0298,crypto,1,4,2,1,1,1,1,5,6,39,20,44,73,1
user_111,4,1165,0,248,34,106,8,1,0,0.0034,crypto,1,5,8,1,1,2,1,5,3,19,16,32,88,1
user_112,59,1097,0,2786,54,52,8,0,0,0.0538,giveaway,1,1,5,1,1,5,1,2,5,46,12,52,17,1
user_113,66,1369,5,1154,16,63,8,0,0,0.0482,giveaway,1,0,4,1,1,3,1,4,4,26,8,21,42,1
user_114,93,3061,3,2527,64,127,8,0,0,0.0304,dm now,2,0,1,1,1,3,1,4,6,29,8,28,75,1
user_115,7,2804,7,66,87,137,8,1,0,0.0025,investment,1,0,6,1,1,1,1,2,5,46,12,98,52,1
user_116,52,919,9,3164,47,18,8,0,0,0.0566,investment,1,3,8,1,1,2,1,4,6,43,20,16,17,1
user_117,51,3557,5,3288,19,130,8,0,0,0.0143,investment,1,0,0,1,1,0,1,1,3,45,11,61,67,1
user_118,78,4723,2,4863,41,76,8,1,0,0.0165,click link,2,4,8,1,1,4,1,3,3,45,19,39,61,1
user_119,48,3213,10,4889,75,6,8,0,0,0.0149,earn money,2,2,10,1,1,4,1,4,4,14,2,75,62,1
user_120,81,3614,2,1562,32,28,8,1,0,0.0224,dm now,2,3,5,1,1,3,1,1,2,26,7,53,65,1
user_121,61,1010,2,3086,72,134,8,0,0,0.0604,investment,1,1,7,1,1,4,1,2,4,34,12,87,99,1
user_122,88,2665,9,1842,32,76,8,0,0,0.033,free offer,2,2,4,1,1,5,1,1,4,44,16,41,62,1
user_123,93,2740,4,2827,87,101,8,1,0,0.0339,earn money,2,1,4,1,1,0,1,2,6,45,3,45,57,1
user_124,96,4424,3,894,35,35,8,1,0,0.0217,giveaway,1,5,9,1,1,1,1,1,6,3,17,29,82,1
user_125,13,3885,5,1293,13,140,8,0,0,0.0033,crypto,1,5,7,1,1,3,1,5,3,12,10,42,37,1
user_126,99,1232,10,1440,69,106,8,0,0,0.0804,investment,1,0,6,1,1,3,1,1,2,47,10,5,2,1
user_127,78,1379,5,1099,83,126,8,0,0,0.0566,click link,2,4,7,1,1,2,1,1,6,7,11,21,94,1
user_128,33,2025,0,3321,38,44,8,0,0,0.0163,crypto,1,3,8,1,1,2,1,0,6,25,4,24,18,1
user_129,32,555,4,4771,58,77,8,0,0,0.0577,free offer,2,4,0,1,1,2,1,5,4,23,8,8,86,1
user_130,40,1808,6,3010,40,75,8,1,0,0.0221,crypto,1,1,3,1,1,1,1,3,2,9,15,96,78,1
user_131,90,4999,7,4304,86,20,8,1,0,0.018,dm now,2,4,5,1,1,0,1,4,3,7,2,71,65,1
user_132,69,1727,2,4004,57,149,8,1,0,0.04,click link,2,4,7,1,1,0,1,3,2,8,17,54,59,1
user_133,72,4287,10,1785,3,0,8,0,0,0.0168,dm now,2,0,0,1,1,3,1,2,5,44,3,70,8,1
user_134,9,4367,0,3133,24,95,8,0,0,0.0021,click link,2,3,6,1,1,0,1,5,3,42,18,18,84,1
user_135,16,1962,8,2444,17,5,8,1,0,0.0082,free offer,2,5,8,1,1,3,1,4,3,24,8,32,59,1
user_136,36,2044,1,1688,54,61,8,1,0,0.0176,earn money,2,0,9,1,1,0,1,3,6,38,2,32,95,1
user_137,57,2419,8,4719,18,59,8,0,0,0.0236,giveaway,1,4,9,1,1,5,1,2,6,15,10,19,85,1
user_138,53,2961,4,4553,76,109,8,1,0,0.0179,earn money,2,0,5,1,1,5,1,5,3,24,17,41,90,1
user_139,20,2956,6,1182,61,76,8,1,0,0.0068,giveaway,1,3,0,1,1,4,1,3,3,26,18,68,18,1
user_140,33,2165,5,1560,58,137,8,0,0,0.0152,crypto,1,2,6,1,1,5,1,4,4,38,2,10,25,1
user_141,76,2277,7,961,39,48,8,0,0,0.0334,giveaway,1,3,3,1,1,5,1,4,2,45,7,51,31,1
user_142,100,2818,6,2946,84,66,8,1,0,0.0355,free offer,2,3,7,1,1,0,1,5,4,30,11,27,48,1
user_143,6,2312,2,2418,71,106,8,0,0,0.0026,earn money,2,1,5,1,1,1,1,3,6,36,8,64,71,1
user_144,88,3265,4,2885,83,43,8,0,0,0.027,dm now,2,1,8,1,1,3,1,1,5,34,2,68,5,1
user_145,10,897,0,74,81,38,8,0,0,0.0111,free offer,2,4,7,1,1,2,1,0,3,39,20,62,85,1
user_146,1,4859,8,2348,3,137,8,0,0,0.0002,free offer,2,4,10,1,1,3,1,1,6,6,4,68,20,1
user_147,80,4812,4,3326,35,95,8,0,0,0.0166,dm now,2,4,3,1,1,5,1,1,5,19,3,84,84,1
user_148,12,3820,6,1403,61,2,8,1,0,0.0031,free offer,2,3,6,1,1,5,1,2,2,36,4,68,6,1
user_149,89,4395,4,269,88,144,8,0,0,0.0203,earn money,2,2,0,1,1,1,1,4,4,9,13,10,39,1
user_150,31,3687,10,2833,50,128,8,0,0,0.0084,investment,1,0,6,1,1,1,1,0,3,21,20,99,79,1
user_151,51,3173,0,4530,58,91,8,0,0,0.0161,crypto,1,3,6,1,1,1,1,5,5,37,13,11,99,1
user_152,32,1102,1,2954,49,81,8,0,0,0.029,click link,2,0,0,1,1,2,1,3,3,23,9,14,17,1
user_153,56,4176,8,2899,53,22,8,1,0,0.0134,investment,1,0,9,1,1,4,1,2,2,24,1,38,53,1
user_154,11,2488,9,2202,88,35,8,0,0,0.0044,investment,1,2,7,1,1,1,1,0,5,10,14,36,54,1
user_155,10,3458,4,3750,81,50,8,1,0,0.0029,giveaway,1,1,4,1,1,0,1,3,5,21,20,49,43,1
user_156,56,1615,4,1455,89,80,8,1,0,0.0347,click link,2,3,5,1,1,2,1,5,3,44,16,74,32,1
user_157,36,3718,5,4506,26,46,8,1,0,0.0097,earn money,2,5,7,1,1,5,1,1,6,28,10,89,9,1
user_158,53,4590,2,3088,31,108,8,0,0,0.0115,crypto,1,3,9,1,1,3,1,4,4,25,18,65,89,1
user_159,5,3445,8,1362,11,90,8,1,0,0.0015,investment,1,4,0,1,1,4,1,5,2,43,13,97,43,1
user_160,56,1367,0,4755,29,142,8,0,0,0.041,earn money,2,4,3,1,1,3,1,2,6,25,15,99,87,1
user_161,65,1734,5,950,14,21,8,0,0,0.0375,earn money,2,5,2,1,1,2,1,2,4,21,15,27,67,1
user_162,61,1299,7,366,58,76,8,1,0,0.047,crypto,1,5,1,1,1,0,1,2,4,41,4,87,22,1
user_163,95,2498,8,3785,21,109,8,1,0,0.038,giveaway,1,3,10,1,1,1,1,1,4,40,14,51,4,1
user_164,26,4182,9,512,1,71,8,0,0,0.0062,free offer,2,0,8,1,1,1,1,2,3,20,7,59,15,1
user_165,63,4823,10,935,50,150,8,1,0,0.0131,click link,2,2,7,1,1,4,1,1,6,43,10,79,76,1
user_166,18,3065,1,4184,15,36,8,0,0,0.0059,giveaway,1,3,9,1,1,1,1,4,3,24,14,24,63,1
user_167,89,1919,8,3694,37,80,8,0,0,0.0464,giveaway,1,0,5,1,1,0,1,3,3,8,7,50,72,1
user_168,64,3851,10,4631,57,21,8,0,0,0.0166,free offer,2,1,4,1,1,0,1,2,5,14,18,37,22,1
user_169,73,4557,8,3005,74,139,8,0,0,0.016,investment,1,0,7,1,1,4,1,1,2,27,4,95,84,1
user_170,39,764,7,1719,12,60,8,0,0,0.051,click link,2,5,9,1,1,5,1,2,5,45,20,81,55,1
user_171,18,2192,3,4889,73,71,8,0,0,0.0082,dm now,2,1,5,1,1,5,1,2,4,18,19,35,66,1
user_172,87,1280,2,2045,8,33,8,0,0,0.068,dm now,2,5,5,1,1,1,1,5,4,25,16,19,74,1
user_173,81,3893,6,2279,82,131,8,0,0,0.0208,free offer,2,2,7,1,1,3,1,2,2,37,1,100,94,1
user_174,59,3434,1,4052,51,54,8,1,0,0.0172,dm now,2,2,4,1,1,2,1,4,3,36,5,73,63,1
user_175,88,896,0,3615,59,40,8,1,0,0.0982,earn money,2,0,6,1,1,1,1,5,2,8,10,21,36,1
user_176,47,2551,1,2502,84,101,8,1,0,0.0184,click link,2,5,3,1,1,3,1,5,3,5,4,1,28,1
user_177,17,2352,8,3459,2,30,8,0,0,0.0072,crypto,1,1,7,1,1,0,1,1,2,24,3,94,14,1
user_178,48,2951,2,4614,83,135,8,0,0,0.0163,free offer,2,4,10,1,1,1,1,3,3,22,7,81,96,1
user_179,53,4124,3,2879,18,98,8,0,0,0.0129,earn money,2,3,5,1,1,1,1,1,2,17,3,32,71,1
user_180,93,2834,0,1545,39,130,8,1,0,0.0328,dm now,2,3,4,1,1,5,1,0,3,50,8,64,50,1
user_181,64,1081,8,3447,41,145,8,0,0,0.0592,earn money,2,4,10,1,1,1,1,3,3,49,3,3,76,1
user_182,34,2267,0,3403,65,128,8,0,0,0.015,earn money,2,5,6,1,1,0,1,5,4,34,18,79,20,1
user_183,40,1147,8,541,69,150,8,0,0,0.0349,giveaway,1,5,6,1,1,5,1,1,4,3,8,12,56,1
user_184,79,950,4,1124,85,3,8,1,0,0.0832,crypto,1,0,2,1,1,3,1,2,3,33,17,93,34,1
user_185,17,2701,1,523,43,134,8,0,0,0.0063,dm now,2,5,9,1,1,5,1,0,5,31,15,66,47,1
user_186,73,1867,5,4168,14,58,8,0,0,0.0391,giveaway,1,0,0,1,1,1,1,0,6,30,12,50,20,1
user_187,5,3935,3,4682,54,19,8,0,0,0.0013,click link,2,0,8,1,1,5,1,0,4,11,8,67,6,1
user_188,9,4310,4,65,42,116,8,0,0,0.0021,dm now,2,1,4,1,1,4,1,2,2,47,20,32,60,1
user_189,64,2100,8,1908,20,6,8,0,0,0.0305,dm now,2,2,10,1,1,5,1,0,2,21,1,98,85,1
user_190,95,3019,1,1166,31,15,8,1,0,0.0315,giveaway,1,2,1,1,1,0,1,1,5,33,14,90,48,1
user_191,96,1195,9,510,18,145,8,1,0,0.0803,earn money,2,5,2,1,1,1,1,2,5,16,11,51,90,1
user_192,42,3105,7,892,10,149,8,0,0,0.0135,click link,2,0,2,1,1,3,1,3,3,20,14,16,69,1
user_193,99,2200,7,2492,34,40,8,0,0,0.045,click link,2,5,9,1,1,0,1,1,2,20,5,12,92,1
user_194,46,3746,8,3312,39,7,8,1,0,0.0123,earn money,2,3,8,1,1,5,1,4,4,15,4,60,14,1
user_195,18,1494,0,688,17,95,8,0,0,0.012,earn money,2,4,4,1,1,0,1,0,3,4,7,83,57,1
user_196,12,3216,1,3235,7,110,8,0,0,0.0037,earn money,2,0,6,1,1,5,1,3,3,11,12,28,24,1
user_197,58,1717,0,3375,79,127,8,1,0,0.0338,investment,1,4,7,1,1,0,1,0,3,17,13,18,54,1
user_198,68,2541,10,4460,3,122,8,1,0,0.0268,dm now,2,3,5,1,1,4,1,4,5,20,13,35,24,1
user_199,77,2294,0,4784,8,91,8,0,0,0.0336,dm now,2,1,1,1,1,1,1,5,5,15,9,69,95,1
user_200,29,3681,5,2939,23,81,8,0,0,0.0079,dm now,2,4,0,1,1,5,1,5,3,22,19,73,19,1
user_201,25,4532,8,1905,63,14,8,0,0,0.0055,click link,2,1,0,1,1,4,1,3,2,0,11,79,26,1
user_202,44,1953,5,4311,19,28,8,0,0,0.0225,earn money,2,2,1,1,1,2,1,5,6,42,13,76,13,1
user_203,42,1617,2,4603,82,44,8,0,0,0.026,crypto,1,4,5,1,1,1,1,5,5,37,6,49,40,1
user_204,38,1543,2,265,90,145,8,0,0,0.0246,crypto,1,4,5,1,1,4,1,1,6,40,19,14,64,1
user_205,96,1137,3,3658,22,85,8,0,0,0.0844,click link,2,2,3,1,1,1,1,5,2,4,12,33,14,1
user_206,7,3661,7,2877,22,96,8,0,0,0.0019,crypto,1,3,1,1,1,3,1,4,5,41,8,21,58,1
user_207,5,2915,0,3075,14,43,8,0,0,0.0017,click link,2,5,1,1,1,4,1,0,2,21,20,79,62,1
user_208,56,1851,9,1556,7,52,8,0,0,0.0303,free offer,2,5,8,1,1,5,1,5,2,34,9,85,37,1
user_209,13,906,6,31,63,92,8,1,0,0.0143,investment,1,0,4,1,1,5,1,5,3,38,16,26,13,1
user_210,22,2890,1,2170,40,125,8,0,0,0.0076,free offer,2,5,8,1,1,3,1,1,5,23,13,48,24,1
user_211,34,4102,7,792,35,38,8,0,0,0.0083,click link,2,5,5,1,1,4,1,3,6,48,19,30,71,1
user_212,50,4780,6,2448,61,121,8,1,0,0.0105,investment,1,3,0,1,1,4,1,4,6,33,19,87,80,1
user_213,97,4178,2,641,25,108,8,0,0,0.0232,giveaway,1,3,3,1,1,5,1,1,3,38,9,41,94,1
user_214,9,1212,6,3753,71,133,8,0,0,0.0074,investment,1,0,9,1,1,4,1,4,4,50,14,15,54,1
user_215,73,1320,1,2163,37,105,8,0,0,0.0553,investment,1,5,7,1,1,4,1,4,6,30,2,23,36,1
user_216,80,3790,0,2200,89,121,8,0,0,0.0211,free offer,2,2,0,1,1,2,1,2,3,19,9,63,90,1
user_217,30,1600,4,1539,42,22,8,0,0,0.0187,crypto,1,1,6,1,1,5,1,3,4,48,17,48,8,1
user_218,21,1037,4,237,52,145,8,1,0,0.0203,crypto,1,1,3,1,1,0,1,1,3,2,15,7,47,1
user_219,36,3517,7,3051,82,61,8,0,0,0.0102,investment,1,4,7,1,1,1,1,3,2,37,18,45,45,1
user_220,34,1240,4,1813,7,54,8,0,0,0.0274,earn money,2,1,10,1,1,1,1,2,3,41,14,66,3,1
user_221,99,572,7,2067,23,57,8,1,0,0.1731,giveaway,1,2,10,1,1,2,1,3,6,24,12,59,33,1
user_222,39,4765,9,4599,14,95,8,1,0,0.0082,free offer,2,4,9,1,1,2,1,2,2,43,4,62,9,1
user_223,36,3163,4,4237,84,38,8,1,0,0.0114,click link,2,1,0,1,1,4,1,3,4,42,11,88,18,1
user_224,84,4574,4,4686,52,149,8,0,0,0.0184,click link,2,1,5,1,1,5,1,5,5,14,18,82,61,1
user_225,86,3436,8,799,85,75,8,0,0,0.025,click link,2,1,4,1,1,5,1,4,6,48,6,88,43,1
user_226,29,3410,3,4796,54,66,8,0,0,0.0085,crypto,1,3,1,1,1,3,1,0,4,40,19,75,80,1
